Time - Square (Filtered),Amplitude - Square (Filtered)
0,0.045035
0.001,0.131049
0.002,0.209315
0.003,0.280532
0.004,0.345335
0.005,0.4043
0.006,0.457955
0.007,0.506777
0.008,0.551202
0.009,0.591625
0.01,0.628407
0.011,0.661877
0.012,0.692331
0.013,0.720043
0.014,0.745259
0.015,0.768203
0.016,0.789081
0.017,0.808079
0.018,0.825365
0.019,0.841094
0.02,0.855407
0.021,0.868431
0.022,0.880281
0.023,0.891064
0.024,0.900876
0.025,0.909804
0.026,0.917928
0.027,0.92532
0.028,0.932047
0.029,0.938167
0.03,0.943736
0.031,0.948804
0.032,0.953415
0.033,0.957611
0.034,0.961429
0.035,0.964903
0.036,0.968064
0.037,0.970941
0.038,0.973558
0.039,0.97594
0.04,0.978107
0.041,0.980079
0.042,0.981873
0.043,0.983506
0.044,0.984991
0.045,0.986343
0.046,0.987573
0.047,0.988693
0.048,0.989711
0.049,0.990638
0.05,0.991481
0.051,0.992248
0.052,0.992947
0.053,0.993582
0.054,0.99416
0.055,0.994686
0.056,0.995165
0.057,0.9956
0.058,0.995996
0.059,0.996357
0.06,0.996685
0.061,0.996984
0.062,0.997255
0.063,0.997503
0.064,0.997728
0.065,0.997932
0.066,0.998118
0.067,0.998288
0.068,0.998442
0.069,0.998582
0.07,0.99871
0.071,0.998826
0.072,0.998932
0.073,0.999028
0.074,0.999116
0.075,0.999195
0.076,0.999268
0.077,0.999334
0.078,0.999394
0.079,0.999448
0.08,0.999498
0.081,0.999543
0.082,0.999584
0.083,0.999622
0.084,0.999656
0.085,0.999687
0.086,0.999715
0.087,0.999741
0.088,0.999764
0.089,0.999785
0.09,0.999805
0.091,0.999822
0.092,0.999838
0.093,0.999853
0.094,0.999866
0.095,0.999878
0.096,0.999889
0.097,0.999899
0.098,0.999908
0.099,0.999916
0.1,0.999924
