Time - Square (Filtered),Amplitude - Square (Filtered)
0,0.00782021
0.001,0.0370265
0.002,0.0895214
0.003,0.158213
0.004,0.237164
0.005,0.321502
0.006,0.40733
0.007,0.491614
0.008,0.572079
0.009,0.647101
0.01,0.715608
0.011,0.77698
0.012,0.830968
0.013,0.877611
0.014,0.917168
0.015,0.95006
0.016,0.976817
0.017,0.998039
0.018,1.01436
0.019,1.02641
0.02,1.03481
0.021,1.04016
0.022,1.043
0.023,1.04383
0.024,1.0431
0.025,1.04119
0.026,1.03844
0.027,1.03512
0.028,1.03149
0.029,1.02772
0.03,1.02397
0.031,1.02034
0.032,1.01693
0.033,1.01378
0.034,1.01094
0.035,1.00843
0.036,1.00623
0.037,1.00436
0.038,1.00279
0.039,1.0015
0.04,1.00046
0.041,0.999653
0.042,0.999045
0.043,0.998609
0.044,0.998318
0.045,0.998149
0.046,0.998076
0.047,0.998081
0.048,0.998145
0.049,0.998252
0.05,0.998388
0.051,0.998543
0.052,0.998708
0.053,0.998874
0.054,0.999037
0.055,0.999191
0.056,0.999335
0.057,0.999466
0.058,0.999583
0.059,0.999686
0.06,0.999774
0.061,0.999849
0.062,0.999911
0.063,0.999961
0.064,1
0.065,1.00003
