Time - Square (Filtered),Amplitude - Square (Filtered)
0,3.40E-08
0.001,5.34E-07
0.002,4.17E-06
0.003,2.17E-05
0.004,8.54E-05
0.005,0.00027235
0.006,0.000737374
0.007,0.00175073
0.008,0.00373322
0.009,0.00728
0.01,0.0131654
0.011,0.0223234
0.012,0.0358029
0.013,0.0546987
0.014,0.0800647
0.015,0.112818
0.016,0.153641
0.017,0.202894
0.018,0.260549
0.019,0.326142
0.02,0.398766
0.021,0.477085
0.022,0.559393
0.023,0.643687
0.024,0.727774
0.025,0.809384
0.026,0.886298
0.027,0.956462
0.028,1.0181
0.029,1.06982
0.03,1.11064
0.031,1.1401
0.032,1.1582
0.033,1.16543
0.034,1.16271
0.035,1.15135
0.036,1.13293
0.037,1.10921
0.038,1.08206
0.039,1.05334
0.04,1.0248
0.041,0.998002
0.042,0.97427
0.043,0.954618
0.044,0.939738
0.045,0.929983
0.046,0.925388
0.047,0.925688
0.048,0.930367
0.049,0.938708
0.05,0.949854
0.051,0.962868
0.052,0.976792
0.053,0.990691
0.054,1.00367
0.055,1.01489
0.056,1.0235
0.057,1.02858
0.058,1.0291
0.059,1.02387
0.06,1.01148
0.061,0.990326
0.062,0.958701
0.063,0.914867
0.064,0.857209
0.065,0.784391
0.066,0.695523
0.067,0.590308
0.068,0.469157
0.069,0.333264
0.07,0.184621
0.071,0.0259777
0.072,-0.139261
0.073,-0.307185
0.074,-0.473565
0.075,-0.634078
0.076,-0.78453
0.077,-0.921081
0.078,-1.04045
0.079,-1.14007
0.08,-1.21825
0.081,-1.27419
0.082,-1.30805
0.083,-1.32089
0.084,-1.31459
0.085,-1.29173
0.086,-1.25541
0.087,-1.20908
0.088,-1.15636
0.089,-1.1008
0.09,-1.04579
0.091,-0.994297
0.092,-0.948843
0.093,-0.911345
0.094,-0.883095
0.095,-0.864742
0.096,-0.856313
0.097,-0.857272
0.098,-0.866602
0.099,-0.882908
