Time - Sine,Amplitude - Sine
0,0
0.001,0.238256
0.002,0.465667
0.003,0.672241
0.004,0.849623
0.005,0.991725
0.006,1.09515
0.007,1.15938
0.008,1.18672
0.009,1.18196
0.01,1.15188
0.011,1.10455
0.012,1.04855
0.013,0.9922
0.014,0.9428
0.015,0.906025
0.016,0.885501
0.017,0.882591
0.018,0.896416
0.019,0.924105
0.02,0.961239
0.021,1.00243
0.022,1.042
0.023,1.07466
0.024,1.09612
0.025,1.1036
0.026,1.09612
0.027,1.07466
0.028,1.042
0.029,1.00243
0.03,0.961239
0.031,0.924105
0.032,0.896416
0.033,0.882591
0.034,0.885501
0.035,0.906025
0.036,0.9428
0.037,0.9922
0.038,1.04855
0.039,1.10455
0.04,1.15188
0.041,1.18196
0.042,1.18672
0.043,1.15938
0.044,1.09515
0.045,0.991725
0.046,0.849623
0.047,0.672241
0.048,0.465667
0.049,0.238256
0.05,1.11E-15
0.051,-0.238256
0.052,-0.465667
0.053,-0.672241
0.054,-0.849623
0.055,-0.991725
0.056,-1.09515
0.057,-1.15938
0.058,-1.18672
0.059,-1.18196
0.06,-1.15188
0.061,-1.10455
0.062,-1.04855
0.063,-0.9922
0.064,-0.9428
0.065,-0.906025
0.066,-0.885501
0.067,-0.882591
0.068,-0.896416
0.069,-0.924105
0.07,-0.961239
0.071,-1.00243
0.072,-1.042
0.073,-1.07466
0.074,-1.09612
0.075,-1.1036
0.076,-1.09612
0.077,-1.07466
0.078,-1.042
0.079,-1.00243
0.08,-0.961239
0.081,-0.924105
0.082,-0.896416
0.083,-0.882591
0.084,-0.885501
0.085,-0.906025
0.086,-0.9428
0.087,-0.9922
0.088,-1.04855
0.089,-1.10455
0.09,-1.15188
0.091,-1.18196
0.092,-1.18672
0.093,-1.15938
0.094,-1.09515
0.095,-0.991725
0.096,-0.849623
0.097,-0.672241
0.098,-0.465667
0.099,-0.238256
